model_id,task,budget,seed,icl_accuracy,lora_accuracy,lora_minus_icl_accuracy,icl_runtime_sec,lora_runtime_sec,lora_minus_icl_runtime_sec
Qwen/Qwen3-0.6B,sst2,1,13,0.66015625,0.75,0.08984375,23.554766258996096,30.935800007999205,7.381033749003109
Qwen/Qwen3-0.6B,sst2,1,21,0.59765625,0.7265625,0.12890625,23.634600903002138,31.051182762999815,7.416581859997677
Qwen/Qwen3-0.6B,sst2,1,42,0.671875,0.73046875,0.05859375,23.489389993002987,32.08821815199917,8.598828158996184
Qwen/Qwen3-0.6B,sst2,2,13,0.70703125,0.7578125,0.05078125,23.46550879300048,31.68710078100048,8.221591988
Qwen/Qwen3-0.6B,sst2,2,21,0.671875,0.73046875,0.05859375,23.59469886500301,31.234682973994495,7.639984108991484
Qwen/Qwen3-0.6B,sst2,2,42,0.734375,0.73828125,0.00390625,23.547395483998116,32.32088140500127,8.773485921003157
Qwen/Qwen3-0.6B,sst2,4,13,0.70703125,0.7578125,0.05078125,23.490326024999376,31.793238490005024,8.302912465005647
Qwen/Qwen3-0.6B,sst2,4,21,0.78515625,0.73828125,-0.046875,23.648215822002385,32.03389841800163,8.385682595999242
Qwen/Qwen3-0.6B,sst2,4,42,0.76953125,0.73828125,-0.03125,23.728474298994115,32.35766732800039,8.629193029006274
Qwen/Qwen3-0.6B,sst2,8,13,0.7421875,0.76171875,0.01953125,23.54140156500216,32.306026665999525,8.764625100997364
Qwen/Qwen3-0.6B,sst2,8,21,0.83984375,0.7421875,-0.09765625,23.861690009995073,33.119502272005775,9.257812262010702
Qwen/Qwen3-0.6B,sst2,8,42,0.8125,0.75390625,-0.05859375,24.159200757007056,32.93070123200232,8.771500474995264
Qwen/Qwen3-0.6B,sst2,16,13,0.82421875,0.7890625,-0.03515625,23.660285461002786,32.90271737200237,9.242431910999585
Qwen/Qwen3-0.6B,sst2,16,21,0.8515625,0.7734375,-0.078125,25.15156404899608,33.812535553995986,8.660971504999907
Qwen/Qwen3-0.6B,sst2,16,42,0.84765625,0.78125,-0.06640625,24.01753328400082,33.04569489699861,9.028161612997792
Qwen/Qwen3-0.6B,sst2,32,13,0.87109375,0.84765625,-0.0234375,23.798727344998042,34.75894684499508,10.960219499997038
Qwen/Qwen3-0.6B,sst2,32,21,0.83203125,0.80859375,-0.0234375,24.306014898000285,36.315978368002106,12.009963470001821
Qwen/Qwen3-0.6B,sst2,32,42,0.83984375,0.80859375,-0.03125,24.002231498001493,34.56612816499546,10.56389666699397
Qwen/Qwen3-0.6B,mrpc,1,13,0.5,0.5,0.0,23.866802032000123,36.98492666000311,13.118124628002988
Qwen/Qwen3-0.6B,mrpc,1,21,0.6328125,0.5,-0.1328125,23.214999618001457,37.36434968100002,14.149350062998565
Qwen/Qwen3-0.6B,mrpc,1,42,0.5,0.5,0.0,23.36136580099992,36.97374858299736,13.61238278199744
Qwen/Qwen3-0.6B,mrpc,2,13,0.64453125,0.5,-0.14453125,23.65402902900314,37.259540363997075,13.605511334993935
Qwen/Qwen3-0.6B,mrpc,2,21,0.54296875,0.5,-0.04296875,23.410084557999653,37.630671925999195,14.220587367999542
Qwen/Qwen3-0.6B,mrpc,2,42,0.6171875,0.5,-0.1171875,23.36082305799937,36.89793275899865,13.537109700999281
Qwen/Qwen3-0.6B,mrpc,4,13,0.5546875,0.5,-0.0546875,23.437303266000526,37.439330137996876,14.00202687199635
Qwen/Qwen3-0.6B,mrpc,4,21,0.58203125,0.5,-0.08203125,23.499510225999984,38.01597972400123,14.516469498001243
Qwen/Qwen3-0.6B,mrpc,4,42,0.62890625,0.5,-0.12890625,23.48577633899913,37.35355642700233,13.867780088003201
Qwen/Qwen3-0.6B,mrpc,8,13,0.57421875,0.5,-0.07421875,23.439565495998977,38.193912357000954,14.754346861001977
Qwen/Qwen3-0.6B,mrpc,8,21,0.66796875,0.5,-0.16796875,23.422714370000904,40.42772387700097,17.005009507000068
Qwen/Qwen3-0.6B,mrpc,8,42,0.6640625,0.5,-0.1640625,23.35682240100141,37.91006767399449,14.553245272993081
Qwen/Qwen3-0.6B,mrpc,16,13,0.67578125,0.5,-0.17578125,23.46778953499961,39.37374478100173,15.905955246002122
Qwen/Qwen3-0.6B,mrpc,16,21,0.6171875,0.5,-0.1171875,23.63458217099833,38.66600576699784,15.031423595999513
Qwen/Qwen3-0.6B,mrpc,16,42,0.6796875,0.5,-0.1796875,23.546089311003016,38.41534537099869,14.869256059995678
Qwen/Qwen3-0.6B,mrpc,32,13,0.6640625,0.55859375,-0.10546875,19.713264631001948,40.29417831999672,20.58091368899477
Qwen/Qwen3-0.6B,mrpc,32,21,0.65234375,0.59765625,-0.0546875,24.234752670003218,40.562330251003004,16.327577580999787
Qwen/Qwen3-0.6B,mrpc,32,42,0.66796875,0.609375,-0.05859375,21.426898742996855,40.11024032299974,18.68334158000289
