method,model_id,task,budget,n,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,parser_success_min,parser_success_mean,runtime_sec_mean,runtime_sec_sum
LoRA,Qwen/Qwen3-0.6B,sst2,2,5,0.74453125,0.016247370580535485,0.73046875,0.765625,1.0,1.0,32.29459608059551,161.47298040297756
LoRA,Qwen/Qwen3-0.6B,sst2,32,5,0.83984375,0.030757843257858637,0.80859375,0.87890625,1.0,1.0,35.97042041079694,179.8521020539847
LoRA,Qwen/Qwen3-0.6B,sst2,4,5,0.74453125,0.017160845809756874,0.72265625,0.765625,1.0,1.0,32.5767835919949,162.8839179599745
LoRA,Qwen/Qwen3-0.6B,sst2,8,5,0.75546875,0.012536567606157198,0.7421875,0.7734375,1.0,1.0,33.2995923602095,166.4979618010475
ICL,Qwen/Qwen3-0.6B,trec,0,5,0.1859375,0.012228496751951975,0.17578125,0.19921875,1.0,1.0,29.496673001399177,147.48336500699588
ICL,Qwen/Qwen3-0.6B,trec,1,5,0.31015625,0.04976445985684713,0.24609375,0.359375,1.0,1.0,28.191392669403285,140.95696334701643
ICL,Qwen/Qwen3-0.6B,trec,16,5,0.5203125,0.03398661989711907,0.46875,0.55859375,1.0,1.0,27.676456928197148,138.38228464098574
ICL,Qwen/Qwen3-0.6B,trec,2,5,0.36640625,0.061664335189597234,0.28125,0.44921875,1.0,1.0,27.578923963203124,137.89461981601562
ICL,Qwen/Qwen3-0.6B,trec,32,5,0.6015625,0.050706074163074884,0.54296875,0.65625,1.0,1.0,27.388556123600573,136.94278061800287
ICL,Qwen/Qwen3-0.6B,trec,4,5,0.40078125,0.05856770254372285,0.3125,0.453125,1.0,1.0,28.06022931919506,140.3011465959753
ICL,Qwen/Qwen3-0.6B,trec,8,5,0.5140625,0.05691608663610623,0.4375,0.5625,1.0,1.0,27.873405150600593,139.36702575300296
LoRA,Qwen/Qwen3-0.6B,trec,1,5,0.1875,0.014352478961620185,0.17578125,0.203125,1.0,1.0,38.365210728799866,191.82605364399933
LoRA,Qwen/Qwen3-0.6B,trec,16,5,0.21484375,0.02157297073669387,0.1875,0.24609375,1.0,1.0,39.29116099619714,196.4558049809857
LoRA,Qwen/Qwen3-0.6B,trec,2,5,0.18671875,0.010111077426206863,0.17578125,0.19921875,1.0,1.0,38.825070894004604,194.125354470023
LoRA,Qwen/Qwen3-0.6B,trec,32,5,0.27890625,0.016937096397405312,0.26171875,0.3046875,1.0,1.0,39.780668884206534,198.90334442103267
LoRA,Qwen/Qwen3-0.6B,trec,4,5,0.1890625,0.012536567606157198,0.17578125,0.20703125,1.0,1.0,38.776782928797914,193.88391464398956
LoRA,Qwen/Qwen3-0.6B,trec,8,5,0.19296875,0.015770804092333085,0.17578125,0.21484375,1.0,1.0,38.9764844330035,194.8824221650175
ICL,Qwen/Qwen3-1.7B,mrpc,0,5,0.5921875,0.002139541240254555,0.58984375,0.59375,1.0,1.0,24.685716466602752,123.42858233301376
ICL,Qwen/Qwen3-1.7B,mrpc,1,5,0.6265625,0.026435819243263485,0.59765625,0.66796875,1.0,1.0,24.78237001580419,123.91185007902095
ICL,Qwen/Qwen3-1.7B,mrpc,16,5,0.6390625,0.04398652581331015,0.58984375,0.703125,1.0,1.0,19.052702129405226,95.26351064702612
ICL,Qwen/Qwen3-1.7B,mrpc,2,5,0.653125,0.027259916128699845,0.6171875,0.6796875,1.0,1.0,24.830699614602054,124.15349807301027
ICL,Qwen/Qwen3-1.7B,mrpc,32,5,0.640625,0.03013134496199514,0.609375,0.6796875,1.0,1.0,17.8817612440027,89.4088062200135
ICL,Qwen/Qwen3-1.7B,mrpc,4,5,0.64375,0.03376139130676859,0.59375,0.68359375,1.0,1.0,24.818553010199686,124.09276505099842
ICL,Qwen/Qwen3-1.7B,mrpc,8,5,0.68671875,0.01941370881217059,0.6640625,0.71484375,1.0,1.0,24.66645589139589,123.33227945697945
LoRA,Qwen/Qwen3-1.7B,mrpc,1,5,0.5890625,0.0032682032286487327,0.5859375,0.59375,1.0,1.0,32.054225648403374,160.27112824201686
LoRA,Qwen/Qwen3-1.7B,mrpc,16,5,0.58671875,0.005793905068043487,0.578125,0.59375,1.0,1.0,33.585727918993506,167.92863959496754
LoRA,Qwen/Qwen3-1.7B,mrpc,2,5,0.59140625,0.002139541240254555,0.58984375,0.59375,1.0,1.0,32.27321930419348,161.3660965209674
LoRA,Qwen/Qwen3-1.7B,mrpc,32,5,0.56640625,0.008286407592029853,0.5546875,0.578125,1.0,1.0,35.095644944603556,175.47822472301777
LoRA,Qwen/Qwen3-1.7B,mrpc,4,5,0.5921875,0.004453810254293508,0.5859375,0.59765625,1.0,1.0,32.60225385999729,163.01126929998645
LoRA,Qwen/Qwen3-1.7B,mrpc,8,5,0.590625,0.006418623720763666,0.58203125,0.59765625,1.0,1.0,32.92125924700376,164.60629623501882
ICL,Qwen/Qwen3-1.7B,rte,0,5,0.81171875,0.0032682032286487327,0.80859375,0.81640625,1.0,1.0,24.780377043000772,123.90188521500386
ICL,Qwen/Qwen3-1.7B,rte,1,5,0.803125,0.020032627195247007,0.78125,0.828125,1.0,1.0,25.102476399199805,125.51238199599902
ICL,Qwen/Qwen3-1.7B,rte,16,5,0.7171875,0.037119653181889374,0.6796875,0.765625,1.0,1.0,14.129726657002175,70.64863328501087
ICL,Qwen/Qwen3-1.7B,rte,2,5,0.765625,0.04332240822816179,0.69921875,0.8125,1.0,1.0,24.709237293999468,123.54618646999734
ICL,Qwen/Qwen3-1.7B,rte,32,5,0.753125,0.04362076335982384,0.69921875,0.8046875,1.0,1.0,17.849118023205666,89.24559011602832
ICL,Qwen/Qwen3-1.7B,rte,4,5,0.72578125,0.04897633755830462,0.6796875,0.7890625,1.0,1.0,22.328197957397787,111.64098978698894
ICL,Qwen/Qwen3-1.7B,rte,8,5,0.7125,0.019648088031186395,0.69140625,0.734375,1.0,1.0,15.215109065400611,76.07554532700306
LoRA,Qwen/Qwen3-1.7B,rte,1,5,0.81640625,0.00390625,0.8125,0.8203125,1.0,1.0,32.24815583161253,161.24077915806265
LoRA,Qwen/Qwen3-1.7B,rte,16,5,0.81640625,0.0027621358640099515,0.8125,0.8203125,1.0,1.0,34.105509911998524,170.52754955999262
LoRA,Qwen/Qwen3-1.7B,rte,2,5,0.815625,0.00427908248050911,0.80859375,0.8203125,1.0,1.0,33.061393902394045,165.30696951197024
LoRA,Qwen/Qwen3-1.7B,rte,32,5,0.82890625,0.0032682032286487327,0.82421875,0.83203125,1.0,1.0,35.57015850819444,177.85079254097218
