model_id,task,budget,seed,icl_accuracy,lora_accuracy,lora_minus_icl_accuracy,icl_runtime_sec,lora_runtime_sec,lora_minus_icl_runtime_sec,lora_train_runtime_sec,lora_inference_runtime_sec,lora_model_load_sec
Qwen/Qwen3-0.6B,sst2,1,7,0.69921875,0.75,0.05078125,25.110244151990628,33.08959831498214,7.979354162991513,0.27834791198256426,32.284188049001386,0.5270623539981898
Qwen/Qwen3-0.6B,sst2,1,13,0.66015625,0.75,0.08984375,23.554766258996096,30.935800007999205,7.381033749003109,0.25283765899803257,30.236892472999898,0.4460698760012747
Qwen/Qwen3-0.6B,sst2,1,21,0.59765625,0.7265625,0.12890625,23.634600903002138,31.051182762999815,7.416581859997677,0.11564454600011231,30.507433937000314,0.4281042799993884
Qwen/Qwen3-0.6B,sst2,1,42,0.671875,0.73046875,0.05859375,23.489389993002987,32.08821815199917,8.598828158996184,0.10768961899884744,31.525418992001505,0.4551095409988193
Qwen/Qwen3-0.6B,sst2,1,55,0.828125,0.71484375,-0.11328125,25.666250187001424,33.05333705805242,7.387086871050997,0.11466714102425613,32.40700778202154,0.5316621350066271
Qwen/Qwen3-0.6B,sst2,2,7,0.7890625,0.765625,-0.0234375,25.168798037979286,33.19168672899832,8.022888691019034,0.19407302301260643,32.441042372985976,0.5565713329997379
Qwen/Qwen3-0.6B,sst2,2,13,0.70703125,0.7578125,0.05078125,23.46550879300048,31.68710078100048,8.221591988,0.19314432299870532,31.067925513001683,0.4260309450000932
Qwen/Qwen3-0.6B,sst2,2,21,0.671875,0.73046875,0.05859375,23.59469886500301,31.234682973994495,7.639984108991484,0.1833170469981269,30.659456553999917,0.39190937299645157
Qwen/Qwen3-0.6B,sst2,2,42,0.734375,0.73828125,0.00390625,23.547395483998116,32.32088140500127,8.773485921003157,0.19065153200062923,31.687743090998993,0.4424867820016516
Qwen/Qwen3-0.6B,sst2,2,55,0.8828125,0.73046875,-0.15234375,25.351296214998,33.038628513982985,7.687332298984984,0.20524517798912711,32.32521724500111,0.508166090992745
Qwen/Qwen3-0.6B,sst2,4,7,0.83203125,0.765625,-0.06640625,25.265975089016138,33.48142116799136,8.21544607897522,0.39218109898502007,32.543567473010626,0.5456725959957112
Qwen/Qwen3-0.6B,sst2,4,13,0.70703125,0.7578125,0.05078125,23.490326024999376,31.793238490005024,8.302912465005647,0.37332535600216943,30.99192191700058,0.4279912170022726
Qwen/Qwen3-0.6B,sst2,4,21,0.78515625,0.73828125,-0.046875,23.648215822002385,32.03389841800163,8.385682595999242,0.3617271550028818,31.25596880000012,0.4162024629986263
Qwen/Qwen3-0.6B,sst2,4,42,0.76953125,0.73828125,-0.03125,23.728474298994115,32.35766732800039,8.629193029006274,0.37666325800091727,31.53574096400189,0.4452631059975829
Qwen/Qwen3-0.6B,sst2,4,55,0.83984375,0.72265625,-0.1171875,25.973278263991233,33.2176925559761,7.244414291984867,0.3895004770020023,32.30422437298694,0.523967705987161
Qwen/Qwen3-0.6B,sst2,8,7,0.8203125,0.7734375,-0.046875,25.37112036999315,34.09155112103326,8.720430751040112,0.7705657080223318,32.794892848993186,0.5260925640177447
Qwen/Qwen3-0.6B,sst2,8,13,0.7421875,0.76171875,0.01953125,23.54140156500216,32.306026665999525,8.764625100997364,0.7200808400011738,31.165510928000003,0.4204348979983479
Qwen/Qwen3-0.6B,sst2,8,21,0.83984375,0.7421875,-0.09765625,23.861690009995073,33.119502272005775,9.257812262010702,0.7396797870023875,31.97360615800062,0.4062163270027668
Qwen/Qwen3-0.6B,sst2,8,42,0.8125,0.75390625,-0.05859375,24.159200757007056,32.93070123200232,8.771500474995264,0.7395678270004282,31.77889909100122,0.41223431400067057
Qwen/Qwen3-0.6B,sst2,8,55,0.828125,0.74609375,-0.08203125,25.57215426300536,34.05018051000661,8.478026247001253,0.8795564220054075,32.602749718003906,0.5678743699972983
Qwen/Qwen3-0.6B,sst2,16,7,0.90625,0.796875,-0.109375,25.42726210001274,35.03042299899971,9.603160898986971,1.4926863470172975,33.00600226398092,0.531734388001496
Qwen/Qwen3-0.6B,sst2,16,13,0.82421875,0.7890625,-0.03515625,23.660285461002786,32.90271737200237,9.242431910999585,1.4477866109991737,31.034446236000804,0.42048452500239364
Qwen/Qwen3-0.6B,sst2,16,21,0.8515625,0.7734375,-0.078125,25.15156404899608,33.812535553995986,8.660971504999907,1.4874751850002212,31.903052384997864,0.42200798399790074
Qwen/Qwen3-0.6B,sst2,16,42,0.84765625,0.78125,-0.06640625,24.01753328400082,33.04569489699861,9.028161612997792,1.498604680000426,31.133862296999723,0.4132279199984623
Qwen/Qwen3-0.6B,sst2,16,55,0.8515625,0.79296875,-0.05859375,25.554292621003697,34.655754320992855,9.101461699989159,1.4981870350020472,32.61192305298755,0.5456442330032587
Qwen/Qwen3-0.6B,sst2,32,7,0.91015625,0.87890625,-0.03125,25.566411489999155,37.41165145099512,11.845239960995968,3.010365477995947,33.90490973499254,0.4963762380066328
Qwen/Qwen3-0.6B,sst2,32,13,0.87109375,0.84765625,-0.0234375,23.798727344998042,34.75894684499508,10.960219499997038,2.9781154319971392,31.35046352199788,0.4303678910000599
Qwen/Qwen3-0.6B,sst2,32,21,0.83203125,0.80859375,-0.0234375,24.306014898000285,36.315978368002106,12.009963470001821,2.981264451002062,32.910117875999276,0.4245960410007683
Qwen/Qwen3-0.6B,sst2,32,42,0.83984375,0.80859375,-0.03125,24.002231498001493,34.56612816499546,10.56389666699397,3.0237106809981924,31.15210250599921,0.3903149779980595
Qwen/Qwen3-0.6B,sst2,32,55,0.87890625,0.85546875,-0.0234375,25.637341037014266,36.79939722499694,11.162056187982671,3.016051549988333,33.241168545995606,0.5421771290129982
Qwen/Qwen3-0.6B,mrpc,1,7,0.62109375,0.5,-0.12109375,25.410640575020807,40.468714627990266,15.05807405296946,0.1191380090021994,39.77893339699949,0.5706432219885755
