model_id,task,method,budget,n,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,parser_success_min,parser_success_mean
Qwen/Qwen3-0.6B,trec,ICL,32,3,0.61328125,0.06139153767774106,0.54296875,0.65625,1.0,1.0
Qwen/Qwen3-0.6B,trec,ICL,4,3,0.4388020833333333,0.021513947450336336,0.4140625,0.453125,1.0,1.0
Qwen/Qwen3-0.6B,trec,ICL,8,3,0.52734375,0.05108084699461727,0.46875,0.5625,1.0,1.0
Qwen/Qwen3-0.6B,trec,LoRA,1,3,0.18489583333333334,0.01578692142315383,0.17578125,0.203125,1.0,1.0
Qwen/Qwen3-0.6B,trec,LoRA,16,3,0.21354166666666666,0.00813150781041458,0.20703125,0.22265625,1.0,1.0
Qwen/Qwen3-0.6B,trec,LoRA,2,3,0.18359375,0.010334966058846057,0.17578125,0.1953125,1.0,1.0
Qwen/Qwen3-0.6B,trec,LoRA,32,3,0.2838541666666667,0.019661027175184243,0.265625,0.3046875,1.0,1.0
Qwen/Qwen3-0.6B,trec,LoRA,4,3,0.18619791666666666,0.009830513587592122,0.17578125,0.1953125,1.0,1.0
Qwen/Qwen3-0.6B,trec,LoRA,8,3,0.1875,0.014084184669781208,0.17578125,0.203125,1.0,1.0
Qwen/Qwen3-1.7B,mrpc,ICL,0,3,0.5924479166666666,0.0022552744890219755,0.58984375,0.59375,1.0,1.0
Qwen/Qwen3-1.7B,mrpc,ICL,1,3,0.6106770833333334,0.011933790872280834,0.59765625,0.62109375,1.0,1.0
Qwen/Qwen3-1.7B,mrpc,ICL,16,3,0.6341145833333334,0.023867581744561665,0.61328125,0.66015625,1.0,1.0
Qwen/Qwen3-1.7B,mrpc,ICL,2,3,0.65625,0.02174907954230477,0.6328125,0.67578125,1.0,1.0
Qwen/Qwen3-1.7B,mrpc,ICL,32,3,0.6276041666666666,0.028258508351836853,0.609375,0.66015625,1.0,1.0
Qwen/Qwen3-1.7B,mrpc,ICL,4,3,0.6614583333333334,0.023545756927116045,0.63671875,0.68359375,1.0,1.0
Qwen/Qwen3-1.7B,mrpc,ICL,8,3,0.6848958333333334,0.009830513587592123,0.67578125,0.6953125,1.0,1.0
Qwen/Qwen3-1.7B,mrpc,LoRA,1,3,0.58984375,0.00390625,0.5859375,0.59375,1.0,1.0
Qwen/Qwen3-1.7B,mrpc,LoRA,16,3,0.5872395833333334,0.008131507810414582,0.578125,0.59375,1.0,1.0
Qwen/Qwen3-1.7B,mrpc,LoRA,2,3,0.5911458333333334,0.0022552744890219755,0.58984375,0.59375,1.0,1.0
Qwen/Qwen3-1.7B,mrpc,LoRA,32,3,0.56640625,0.01171875,0.5546875,0.578125,1.0,1.0
Qwen/Qwen3-1.7B,mrpc,LoRA,4,3,0.5924479166666666,0.0022552744890219755,0.58984375,0.59375,1.0,1.0
Qwen/Qwen3-1.7B,mrpc,LoRA,8,3,0.5911458333333334,0.008131507810414582,0.58203125,0.59765625,1.0,1.0
Qwen/Qwen3-1.7B,rte,ICL,0,3,0.8098958333333334,0.0022552744890219755,0.80859375,0.8125,1.0,1.0
Qwen/Qwen3-1.7B,rte,ICL,1,3,0.8046875,0.0234375,0.78125,0.828125,1.0,1.0
Qwen/Qwen3-1.7B,rte,ICL,16,3,0.6927083333333334,0.01926907368092284,0.6796875,0.71484375,1.0,1.0
Qwen/Qwen3-1.7B,rte,ICL,2,3,0.7916666666666666,0.021513947450336336,0.76953125,0.8125,1.0,1.0
Qwen/Qwen3-1.7B,rte,ICL,32,3,0.7265625,0.03197403426512676,0.69921875,0.76171875,1.0,1.0
Qwen/Qwen3-1.7B,rte,ICL,4,3,0.7200520833333334,0.04103112306403315,0.6796875,0.76171875,1.0,1.0
Qwen/Qwen3-1.7B,rte,ICL,8,3,0.70703125,0.02376079113397742,0.69140625,0.734375,1.0,1.0
Qwen/Qwen3-1.7B,rte,LoRA,1,3,0.8151041666666666,0.004510548978043951,0.8125,0.8203125,1.0,1.0
Qwen/Qwen3-1.7B,rte,LoRA,16,3,0.81640625,0.0,0.81640625,0.81640625,1.0,1.0
Qwen/Qwen3-1.7B,rte,LoRA,2,3,0.8138020833333334,0.004510548978043951,0.80859375,0.81640625,1.0,1.0
Qwen/Qwen3-1.7B,rte,LoRA,32,3,0.828125,0.00390625,0.82421875,0.83203125,1.0,1.0
Qwen/Qwen3-1.7B,rte,LoRA,4,3,0.8125,0.00390625,0.80859375,0.81640625,1.0,1.0
Qwen/Qwen3-1.7B,rte,LoRA,8,3,0.8098958333333334,0.0022552744890219755,0.80859375,0.8125,1.0,1.0
Qwen/Qwen3-1.7B,sst2,ICL,0,3,0.8450520833333334,0.009021097956087902,0.83984375,0.85546875,1.0,1.0
Qwen/Qwen3-1.7B,sst2,ICL,1,3,0.8919270833333334,0.008131507810414582,0.8828125,0.8984375,1.0,1.0
Qwen/Qwen3-1.7B,sst2,ICL,16,3,0.90625,0.010334966058846057,0.8984375,0.91796875,1.0,1.0
Qwen/Qwen3-1.7B,sst2,ICL,2,3,0.90234375,0.0,0.90234375,0.90234375,1.0,1.0
Qwen/Qwen3-1.7B,sst2,ICL,32,3,0.8919270833333334,0.01926907368092284,0.87890625,0.9140625,1.0,1.0
Qwen/Qwen3-1.7B,sst2,ICL,4,3,0.8932291666666666,0.013718299157360338,0.87890625,0.90625,1.0,1.0
Qwen/Qwen3-1.7B,sst2,ICL,8,3,0.90234375,0.0,0.90234375,0.90234375,1.0,1.0
Qwen/Qwen3-1.7B,sst2,LoRA,1,3,0.7825520833333334,0.008131507810414582,0.7734375,0.7890625,1.0,1.0
Qwen/Qwen3-1.7B,sst2,LoRA,16,3,0.7838541666666666,0.005966895436140417,0.77734375,0.7890625,0.99609375,0.9986979166666666
Qwen/Qwen3-1.7B,sst2,LoRA,2,3,0.7838541666666666,0.009021097956087902,0.7734375,0.7890625,0.99609375,0.9986979166666666
Qwen/Qwen3-1.7B,sst2,LoRA,32,3,0.7955729166666666,0.008131507810414582,0.7890625,0.8046875,0.99609375,0.99609375
Qwen/Qwen3-1.7B,sst2,LoRA,4,3,0.7799479166666666,0.005966895436140417,0.7734375,0.78515625,0.99609375,0.9986979166666666
Qwen/Qwen3-1.7B,sst2,LoRA,8,3,0.7825520833333334,0.008131507810414582,0.7734375,0.7890625,0.99609375,0.9986979166666666
Qwen/Qwen3-1.7B,trec,ICL,0,3,0.3815104166666667,0.037535248191144725,0.34765625,0.421875,1.0,1.0
