model_id,task,method,budget,n,accuracy_std_across_seeds,accuracy_range_across_seeds
Qwen/Qwen3-1.7B,mrpc,LoRA,8,5,0.006418623720763666,0.015625
Qwen/Qwen3-1.7B,rte,ICL,0,5,0.0032682032286487327,0.0078125
Qwen/Qwen3-1.7B,rte,ICL,1,5,0.020032627195247007,0.046875
Qwen/Qwen3-1.7B,rte,ICL,16,5,0.037119653181889374,0.0859375
Qwen/Qwen3-1.7B,rte,ICL,2,5,0.04332240822816179,0.11328125
Qwen/Qwen3-1.7B,rte,ICL,32,5,0.04362076335982384,0.10546875
Qwen/Qwen3-1.7B,rte,ICL,4,5,0.04897633755830462,0.109375
Qwen/Qwen3-1.7B,rte,ICL,8,5,0.019648088031186395,0.04296875
Qwen/Qwen3-1.7B,rte,LoRA,1,5,0.00390625,0.0078125
Qwen/Qwen3-1.7B,rte,LoRA,16,5,0.0027621358640099515,0.0078125
Qwen/Qwen3-1.7B,rte,LoRA,2,5,0.00427908248050911,0.01171875
Qwen/Qwen3-1.7B,rte,LoRA,32,5,0.0032682032286487327,0.0078125
Qwen/Qwen3-1.7B,rte,LoRA,4,5,0.0034938562148434213,0.0078125
Qwen/Qwen3-1.7B,rte,LoRA,8,5,0.006418623720763666,0.015625
Qwen/Qwen3-1.7B,sst2,ICL,0,5,0.025224819204629594,0.05859375
Qwen/Qwen3-1.7B,sst2,ICL,1,5,0.012536567606157198,0.03125
Qwen/Qwen3-1.7B,sst2,ICL,16,5,0.014458402752595115,0.03515625
Qwen/Qwen3-1.7B,sst2,ICL,2,5,0.0059241214406652734,0.015625
Qwen/Qwen3-1.7B,sst2,ICL,32,5,0.019918044974971814,0.04296875
Qwen/Qwen3-1.7B,sst2,ICL,4,5,0.013418409404154428,0.03125
Qwen/Qwen3-1.7B,sst2,ICL,8,5,0.013975424859373685,0.02734375
Qwen/Qwen3-1.7B,sst2,LoRA,1,5,0.012536567606157198,0.03125
Qwen/Qwen3-1.7B,sst2,LoRA,16,5,0.013810679320049757,0.03515625
Qwen/Qwen3-1.7B,sst2,LoRA,2,5,0.012837247441527332,0.03515625
Qwen/Qwen3-1.7B,sst2,LoRA,32,5,0.01819658546695643,0.04296875
Qwen/Qwen3-1.7B,sst2,LoRA,4,5,0.012475562048961962,0.03125
Qwen/Qwen3-1.7B,sst2,LoRA,8,5,0.011848242881330547,0.03125
Qwen/Qwen3-1.7B,trec,ICL,0,5,0.04358576875863554,0.10546875
Qwen/Qwen3-1.7B,trec,ICL,1,5,0.030257682392245445,0.07421875
Qwen/Qwen3-1.7B,trec,ICL,16,5,0.030055287596361478,0.0703125
Qwen/Qwen3-1.7B,trec,ICL,2,5,0.05776761348687299,0.13671875
Qwen/Qwen3-1.7B,trec,ICL,32,5,0.022777155839239456,0.0546875
Qwen/Qwen3-1.7B,trec,ICL,4,5,0.027676546224872423,0.078125
Qwen/Qwen3-1.7B,trec,ICL,8,5,0.03552325795121768,0.09375
Qwen/Qwen3-1.7B,trec,LoRA,1,5,0.04362076335982384,0.1015625
Qwen/Qwen3-1.7B,trec,LoRA,16,5,0.04128446122067297,0.09765625
Qwen/Qwen3-1.7B,trec,LoRA,2,5,0.050525195795328194,0.12109375
Qwen/Qwen3-1.7B,trec,LoRA,32,5,0.03670628112760471,0.08984375
Qwen/Qwen3-1.7B,trec,LoRA,4,5,0.051125635119832494,0.12109375
Qwen/Qwen3-1.7B,trec,LoRA,8,5,0.052524175981161283,0.12890625
Qwen/Qwen3-4B,mrpc,ICL,0,5,0.00855816496101822,0.01953125
Qwen/Qwen3-4B,mrpc,ICL,1,5,0.029569048230899318,0.078125
Qwen/Qwen3-4B,mrpc,ICL,16,5,0.020032627195247007,0.04296875
Qwen/Qwen3-4B,mrpc,ICL,2,5,0.01798572567690834,0.046875
Qwen/Qwen3-4B,mrpc,ICL,32,5,0.02287742260054113,0.05078125
Qwen/Qwen3-4B,mrpc,ICL,4,5,0.018936249443032536,0.05078125
Qwen/Qwen3-4B,mrpc,ICL,8,5,0.019609219371892396,0.046875
Qwen/Qwen3-4B,mrpc,LoRA,1,5,0.009804609685946198,0.0234375
Qwen/Qwen3-4B,mrpc,LoRA,16,5,0.009326044051807283,0.0234375
Qwen/Qwen3-4B,mrpc,LoRA,2,5,0.008907620508587016,0.0234375
Qwen/Qwen3-4B,mrpc,LoRA,32,5,0.00855816496101822,0.0234375
Qwen/Qwen3-4B,mrpc,LoRA,4,5,0.008468548198702656,0.01953125
Qwen/Qwen3-4B,mrpc,LoRA,8,5,0.006418623720763666,0.015625
Qwen/Qwen3-4B,rte,ICL,0,5,0.0032682032286487327,0.0078125
Qwen/Qwen3-4B,rte,ICL,1,5,0.014084184669781208,0.0390625
Qwen/Qwen3-4B,rte,ICL,16,5,0.010839403848055944,0.02734375
Qwen/Qwen3-4B,rte,ICL,2,5,0.0078125,0.015625
Qwen/Qwen3-4B,rte,ICL,32,5,0.02096313728906053,0.046875
Qwen/Qwen3-4B,rte,ICL,4,5,0.015527036651837337,0.04296875
Qwen/Qwen3-4B,rte,ICL,8,5,0.01738171520413046,0.0390625
Qwen/Qwen3-4B,rte,LoRA,1,5,0.005524271728019903,0.01171875
Qwen/Qwen3-4B,rte,LoRA,16,5,0.0032682032286487327,0.0078125
Qwen/Qwen3-4B,rte,LoRA,2,5,0.0032682032286487327,0.0078125
Qwen/Qwen3-4B,rte,LoRA,32,5,0.006176323555016366,0.015625
Qwen/Qwen3-4B,rte,LoRA,4,5,0.005093126879064569,0.01171875
Qwen/Qwen3-4B,rte,LoRA,8,5,0.0032682032286487327,0.0078125
Qwen/Qwen3-4B,sst2,ICL,0,5,0.010481568644530264,0.0234375
Qwen/Qwen3-4B,sst2,ICL,1,5,0.01547782246574918,0.03515625
Qwen/Qwen3-4B,sst2,ICL,16,5,0.012536567606157198,0.03515625
Qwen/Qwen3-4B,sst2,ICL,2,5,0.014771617500928935,0.03125
Qwen/Qwen3-4B,sst2,ICL,32,5,0.016010860571811874,0.0390625
Qwen/Qwen3-4B,sst2,ICL,4,5,0.015722352966795396,0.03125
Qwen/Qwen3-4B,sst2,ICL,8,5,0.010481568644530264,0.02734375
Qwen/Qwen3-4B,sst2,LoRA,1,5,0.01424576760063318,0.03515625
Qwen/Qwen3-4B,sst2,LoRA,16,5,0.01689199086753098,0.04296875
Qwen/Qwen3-4B,sst2,LoRA,2,5,0.015770804092333085,0.0390625
Qwen/Qwen3-4B,sst2,LoRA,32,5,0.01680141653719263,0.04296875
Qwen/Qwen3-4B,sst2,LoRA,4,5,0.017815241017174032,0.04296875
Qwen/Qwen3-4B,sst2,LoRA,8,5,0.013810679320049757,0.03515625
Qwen/Qwen3-4B,trec,ICL,0,5,0.02555535505280645,0.0546875
Qwen/Qwen3-4B,trec,ICL,1,5,0.023339639447327587,0.0546875
Qwen/Qwen3-4B,trec,ICL,16,5,0.027676546224872423,0.06640625
Qwen/Qwen3-4B,trec,ICL,2,5,0.03653962291771427,0.08984375
Qwen/Qwen3-4B,trec,ICL,32,5,0.031127690333025836,0.0859375
Qwen/Qwen3-4B,trec,ICL,4,5,0.024174606948071567,0.0625
Qwen/Qwen3-4B,trec,ICL,8,5,0.040838531370891024,0.08984375
Qwen/Qwen3-4B,trec,LoRA,1,5,0.020032627195247007,0.04296875
Qwen/Qwen3-4B,trec,LoRA,16,5,0.02092671130621699,0.046875
Qwen/Qwen3-4B,trec,LoRA,2,5,0.018528970665049098,0.04296875
Qwen/Qwen3-4B,trec,LoRA,32,5,0.03275199033789779,0.07421875
Qwen/Qwen3-4B,trec,LoRA,4,5,0.029100907081545585,0.0625
Qwen/Qwen3-4B,trec,LoRA,8,5,0.029231698334171417,0.0625
