model_id,task,method,budget,n,runtime_sec_mean,runtime_sec_sum,train_runtime_sec_mean,inference_runtime_sec_mean,model_load_sec_mean
Qwen/Qwen3-0.6B,mrpc,ICL,0,5,29.87496111639557,149.37480558197785,,29.87496111639557,
Qwen/Qwen3-0.6B,mrpc,ICL,1,5,24.277408395204837,121.3870419760242,,24.277408395204837,
Qwen/Qwen3-0.6B,mrpc,ICL,16,5,24.397671663796064,121.98835831898032,,24.397671663796064,
Qwen/Qwen3-0.6B,mrpc,ICL,2,5,24.2660997733954,121.330498866977,,24.2660997733954,
Qwen/Qwen3-0.6B,mrpc,ICL,32,5,22.926227391201973,114.63113695600987,,22.926227391201973,
Qwen/Qwen3-0.6B,mrpc,ICL,4,5,24.302626991400757,121.51313495700379,,24.302626991400757,
Qwen/Qwen3-0.6B,mrpc,ICL,8,5,24.242767499602632,121.21383749801316,,24.242767499602632,
Qwen/Qwen3-0.6B,mrpc,LoRA,1,5,38.445209932798754,192.22604966399376,0.1299597254001128,37.83314202519905,0.4821081821995904
Qwen/Qwen3-0.6B,mrpc,LoRA,16,5,40.16830866219898,200.8415433109949,1.4913897491976968,38.216510904605094,0.46040800839618895
Qwen/Qwen3-0.6B,mrpc,LoRA,2,5,38.641709717790945,193.20854858895473,0.20563989339134423,37.98453111620256,0.45153870819704023
Qwen/Qwen3-0.6B,mrpc,LoRA,32,5,41.70679834679686,208.5339917339843,2.9426688651969015,38.320310433398845,0.4438190482011123
Qwen/Qwen3-0.6B,mrpc,LoRA,4,5,38.92631663720677,194.63158318603382,0.38785050560109086,38.08652279200542,0.4519433396002569
Qwen/Qwen3-0.6B,mrpc,LoRA,8,5,39.90202126501244,199.51010632506222,0.7611195840057917,38.69373733840257,0.4471643426040828
Qwen/Qwen3-0.6B,rte,ICL,0,5,29.906275115195605,149.53137557597802,,29.906275115195605,
Qwen/Qwen3-0.6B,rte,ICL,1,5,28.227654681998683,141.13827340999342,,28.227654681998683,
Qwen/Qwen3-0.6B,rte,ICL,16,5,27.50173925659765,137.50869628298824,,27.50173925659765,
Qwen/Qwen3-0.6B,rte,ICL,2,5,27.52424137739654,137.6212068869827,,27.52424137739654,
Qwen/Qwen3-0.6B,rte,ICL,32,5,27.707600317797187,138.53800158898594,,27.707600317797187,
Qwen/Qwen3-0.6B,rte,ICL,4,5,28.60989562500181,143.04947812500905,,28.60989562500181,
Qwen/Qwen3-0.6B,rte,ICL,8,5,27.427909228803763,137.13954614401882,,27.427909228803763,
Qwen/Qwen3-0.6B,rte,LoRA,1,5,38.93302363760231,194.66511818801155,0.13293639160183374,38.3230478287951,0.4770394172053784
Qwen/Qwen3-0.6B,rte,LoRA,16,5,40.098846699801655,200.49423349900826,1.479481803206727,38.17073419559383,0.44863070100109326
Qwen/Qwen3-0.6B,rte,LoRA,2,5,39.293530693402865,196.46765346701432,0.21459665920265253,38.62561771600376,0.45331631819644824
Qwen/Qwen3-0.6B,rte,LoRA,32,5,42.25076314260441,211.25381571302205,2.936526323005819,38.85871795120329,0.455518868395302
Qwen/Qwen3-0.6B,rte,LoRA,4,5,38.929080797192725,194.64540398596364,0.3927008315942658,38.09073035719412,0.44564960840434653
Qwen/Qwen3-0.6B,rte,LoRA,8,5,39.52012186539723,197.60060932698616,0.7681800694015692,38.30454842579711,0.4473933701985516
Qwen/Qwen3-0.6B,sst2,ICL,0,5,24.449378402800356,122.24689201400179,,24.449378402800356,
Qwen/Qwen3-0.6B,sst2,ICL,1,5,24.291050298798655,121.45525149399327,,24.291050298798655,
Qwen/Qwen3-0.6B,sst2,ICL,16,5,24.762187503003226,123.81093751501612,,24.762187503003226,
Qwen/Qwen3-0.6B,sst2,ICL,2,5,24.225539478995778,121.1276973949789,,24.225539478995778,
Qwen/Qwen3-0.6B,sst2,ICL,32,5,24.66214525360265,123.31072626801324,,24.66214525360265,
Qwen/Qwen3-0.6B,sst2,ICL,4,5,24.42125389980065,122.10626949900325,,24.42125389980065,
Qwen/Qwen3-0.6B,sst2,ICL,8,5,24.50111339300056,122.5055669650028,,24.50111339300056,
Qwen/Qwen3-0.6B,sst2,LoRA,1,5,32.04362725920655,160.21813629603275,0.17383737540076255,31.392188246604928,0.47760163720085985
Qwen/Qwen3-0.6B,sst2,LoRA,16,5,33.889425028597906,169.44712514298953,1.4849479716038332,31.93785724699337,0.4666198100007023
Qwen/Qwen3-0.6B,sst2,LoRA,2,5,32.29459608059551,161.47298040297756,0.193286220599839,31.636276955197538,0.46503290479813586
Qwen/Qwen3-0.6B,sst2,LoRA,32,5,35.97042041079694,179.8521020539847,3.001901518396335,32.5117524369969,0.45676645540370375
Qwen/Qwen3-0.6B,sst2,LoRA,4,5,32.5767835919949,162.8839179599745,0.37867946899859817,31.72628470540003,0.4718194175962708
Qwen/Qwen3-0.6B,sst2,LoRA,8,5,33.2995923602095,166.4979618010475,0.7698901168063458,32.06313174879979,0.46657049460336564
Qwen/Qwen3-0.6B,trec,ICL,0,5,29.496673001399177,147.48336500699588,,29.496673001399177,
Qwen/Qwen3-0.6B,trec,ICL,1,5,28.191392669403285,140.95696334701643,,28.191392669403285,
Qwen/Qwen3-0.6B,trec,ICL,16,5,27.676456928197148,138.38228464098574,,27.676456928197148,
Qwen/Qwen3-0.6B,trec,ICL,2,5,27.578923963203124,137.89461981601562,,27.578923963203124,
Qwen/Qwen3-0.6B,trec,ICL,32,5,27.388556123600573,136.94278061800287,,27.388556123600573,
Qwen/Qwen3-0.6B,trec,ICL,4,5,28.06022931919506,140.3011465959753,,28.06022931919506,
Qwen/Qwen3-0.6B,trec,ICL,8,5,27.873405150600593,139.36702575300296,,27.873405150600593,
Qwen/Qwen3-0.6B,trec,LoRA,1,5,38.365210728799866,191.82605364399933,0.10705156479525613,37.78308892860368,0.4750702354009263
Qwen/Qwen3-0.6B,trec,LoRA,16,5,39.29116099619714,196.4558049809857,1.45068481039998,37.39727822139757,0.44319796439958736
Qwen/Qwen3-0.6B,trec,LoRA,2,5,38.825070894004604,194.125354470023,0.20257875860479543,38.16953120640392,0.45296092899588986
Qwen/Qwen3-0.6B,trec,LoRA,32,5,39.780668884206534,198.90334442103267,2.8933504708002147,36.44393315100315,0.4433852624031715
Qwen/Qwen3-0.6B,trec,LoRA,4,5,38.776782928797914,193.88391464398956,0.3863299955999537,37.92563597320041,0.46481695999755174
Qwen/Qwen3-0.6B,trec,LoRA,8,5,38.9764844330035,194.8824221650175,0.7237737527982973,37.79996567160124,0.4527450086039607
Qwen/Qwen3-1.7B,mrpc,ICL,0,5,24.685716466602752,123.42858233301376,,24.685716466602752,
Qwen/Qwen3-1.7B,mrpc,ICL,1,5,24.78237001580419,123.91185007902095,,24.78237001580419,
Qwen/Qwen3-1.7B,mrpc,ICL,16,5,19.052702129405226,95.26351064702612,,19.052702129405226,
Qwen/Qwen3-1.7B,mrpc,ICL,2,5,24.830699614602054,124.15349807301027,,24.830699614602054,
Qwen/Qwen3-1.7B,mrpc,ICL,32,5,17.8817612440027,89.4088062200135,,17.8817612440027,
Qwen/Qwen3-1.7B,mrpc,ICL,4,5,24.818553010199686,124.09276505099842,,24.818553010199686,
Qwen/Qwen3-1.7B,mrpc,ICL,8,5,24.66645589139589,123.33227945697945,,24.66645589139589,
Qwen/Qwen3-1.7B,mrpc,LoRA,1,5,32.054225648403374,160.27112824201686,0.12659543260087958,31.196561932599433,0.731068283203058
Qwen/Qwen3-1.7B,mrpc,LoRA,16,5,33.585727918993506,167.92863959496754,1.5049987460006378,31.38028109319348,0.7004480797993893
Qwen/Qwen3-1.7B,mrpc,LoRA,2,5,32.27321930419348,161.3660965209674,0.20473305559789878,31.382120324393327,0.686365924202255
Qwen/Qwen3-1.7B,mrpc,LoRA,32,5,35.095644944603556,175.47822472301777,2.9707190541936144,31.429468177608943,0.6954577128009987
Qwen/Qwen3-1.7B,mrpc,LoRA,4,5,32.60225385999729,163.01126929998645,0.39008712680006286,31.515216288002556,0.6969504451946704
Qwen/Qwen3-1.7B,mrpc,LoRA,8,5,32.92125924700376,164.60629623501882,0.7595634413999506,31.476420177200634,0.6852756284031785
Qwen/Qwen3-1.7B,rte,ICL,0,5,24.780377043000772,123.90188521500386,,24.780377043000772,
Qwen/Qwen3-1.7B,rte,ICL,1,5,25.102476399199805,125.51238199599902,,25.102476399199805,
Qwen/Qwen3-1.7B,rte,ICL,16,5,14.129726657002175,70.64863328501087,,14.129726657002175,
