model_id,task,budget,n,mean_lora_minus_icl,ci_low,ci_high,median_lora_minus_icl,min_lora_minus_icl,max_lora_minus_icl,direction_by_threshold
Qwen/Qwen3-1.7B,sst2,16,5,-0.121875,-0.13125,-0.1125,-0.125,-0.1328125,-0.109375,ICL
Qwen/Qwen3-1.7B,sst2,32,5,-0.09453125,-0.10234375,-0.08984375,-0.08984375,-0.109375,-0.08984375,ICL
Qwen/Qwen3-1.7B,trec,1,5,-0.06953125,-0.0953125,-0.0484375,-0.0703125,-0.12109375,-0.04296875,ICL
Qwen/Qwen3-1.7B,trec,2,5,-0.11640625,-0.1515625,-0.08671875,-0.10546875,-0.18359375,-0.078125,ICL
Qwen/Qwen3-1.7B,trec,4,5,-0.17265625,-0.203125,-0.13828125,-0.1953125,-0.2109375,-0.1171875,ICL
Qwen/Qwen3-1.7B,trec,8,5,-0.215625,-0.27109375,-0.15078125,-0.25390625,-0.2890625,-0.109375,ICL
Qwen/Qwen3-1.7B,trec,16,5,-0.25546875,-0.2734375,-0.2265625,-0.265625,-0.27734375,-0.19921875,ICL
Qwen/Qwen3-1.7B,trec,32,5,-0.27109375,-0.2984375,-0.23515625,-0.28125,-0.30859375,-0.19921875,ICL
Qwen/Qwen3-4B,mrpc,1,5,0.0109375,-0.00703125,0.02734375,0.01171875,-0.0234375,0.03125,tie
Qwen/Qwen3-4B,mrpc,2,5,0.01015625,-0.00546875,0.02265625,0.01953125,-0.015625,0.02734375,tie
Qwen/Qwen3-4B,mrpc,4,5,0.02265625,0.0078125,0.03984375,0.0234375,0.0,0.0546875,LoRA
Qwen/Qwen3-4B,mrpc,8,5,0.02734375,0.0125,0.03828125,0.03125,0.0,0.04296875,LoRA
Qwen/Qwen3-4B,mrpc,16,5,0.0328125,0.01640625,0.05,0.01953125,0.01171875,0.05859375,LoRA
Qwen/Qwen3-4B,mrpc,32,5,0.04296875,0.02890625,0.05859375,0.0390625,0.01953125,0.0703125,LoRA
Qwen/Qwen3-4B,rte,1,5,-0.0390625,-0.0484375,-0.0296875,-0.0390625,-0.0546875,-0.0234375,ICL
Qwen/Qwen3-4B,rte,2,5,-0.0265625,-0.03203125,-0.021875,-0.0234375,-0.03515625,-0.01953125,ICL
Qwen/Qwen3-4B,rte,4,5,-0.025,-0.03671875,-0.0109375,-0.02734375,-0.04296875,0.0,ICL
Qwen/Qwen3-4B,rte,8,5,-0.01875,-0.03125,-0.0046875,-0.03125,-0.03125,0.00390625,tie
Qwen/Qwen3-4B,rte,16,5,-0.00390625,-0.009375,0.00390625,-0.0078125,-0.01171875,0.01171875,tie
Qwen/Qwen3-4B,rte,32,5,-0.00625,-0.01796875,0.00546875,-0.01171875,-0.0234375,0.01171875,tie
Qwen/Qwen3-4B,sst2,1,5,-0.00625,-0.015625,0.00234375,-0.00390625,-0.0234375,0.0078125,tie
Qwen/Qwen3-4B,sst2,2,5,-0.00703125,-0.0140625,0.00078125,-0.0078125,-0.015625,0.0078125,tie
Qwen/Qwen3-4B,sst2,4,5,-0.0046875,-0.0109375,0.00078125,-0.00390625,-0.015625,0.00390625,tie
Qwen/Qwen3-4B,sst2,8,5,-0.0046875,-0.009375,0.00078125,-0.0078125,-0.01171875,0.00390625,tie
Qwen/Qwen3-4B,sst2,16,5,-0.00078125,-0.0078125,0.00859375,-0.0078125,-0.0078125,0.015625,tie
Qwen/Qwen3-4B,sst2,32,5,-0.00546875,-0.0078125,-0.00234375,-0.0078125,-0.0078125,0.0,tie
Qwen/Qwen3-4B,trec,1,5,-0.10703125,-0.1203125,-0.09296875,-0.109375,-0.12890625,-0.08203125,ICL
Qwen/Qwen3-4B,trec,2,5,-0.11328125,-0.13203125,-0.09921875,-0.10546875,-0.14453125,-0.08984375,ICL
Qwen/Qwen3-4B,trec,4,5,-0.16171875,-0.1953125,-0.128125,-0.1640625,-0.21484375,-0.10546875,ICL
Qwen/Qwen3-4B,trec,8,5,-0.20859375,-0.23984375,-0.1796875,-0.2109375,-0.265625,-0.16015625,ICL
Qwen/Qwen3-4B,trec,16,5,-0.21484375,-0.221875,-0.2078125,-0.21484375,-0.2265625,-0.203125,ICL
Qwen/Qwen3-4B,trec,32,5,-0.2125,-0.2515625,-0.17890625,-0.203125,-0.27734375,-0.15625,ICL
